,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
145,Lenovo Tab P13 Pro,"₹69,990",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","12 GB RAM, 256 GB inbuilt",11800 mAh Battery with 65W Fast Charging,"12.8 inches, 1600 x 2560 px, 144 Hz Display",50 MP + 5 MP Dual Rear & 16 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
146,Oppo Pad 3 Tablet,"₹27,990",77,"VoLTE, Wi-Fi",No 3G,"Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 128 GB inbuilt",9520 mAh Battery with 67W Fast Charging,"11.61 inches, 2000 x 2800 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,Android v15
147,Apple iPad Pro 13 2024 Tablet 5G,"₹1,49,900",78,Single Sim,"3G, 4G, 5G, Wi-Fi","Apple M4, Nine Core Processor","8 GB RAM, 256 GB inbuilt",10538 mAh Battery with Fast Charging,"13 inches, 2064 x 2752 px, 120 Hz Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
148,Honor Pad 9 Pro,"₹26,990",74,No Sim Supported,Wi-Fi,"Dimensity 8100, Octa Core, 2.85 GHz Processor","12 GB RAM, 256 GB inbuilt",10050 mAh Battery with 35W Fast Charging,"12.1 inches, 1600 x 2560 px, 144 Hz Display",13 MP Rear & 5 MP Front Camera,Android v14
149,iQOO Pad 3,"₹39,990",68,No Sim Supported,"Wi-Fi, NFC","Dimensity 9400, Octa Core Processor","12 GB RAM, 256 GB inbuilt",12500 mAh Battery with 67W Fast Charging,"13.1 inches, 1968 x 2800 px, 144 Hz Display",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14
150,Poco Pad Tablet,"₹24,990",72,No Sim Supported,Wi-Fi,"Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 33W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,Memory Card Supported
151,iQOO Pad 2 Pro,"₹39,990",77,No Sim Supported,"Wi-Fi, NFC","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","8 GB RAM, 256 GB inbuilt",11500 mAh Battery with 66W Fast Charging,"13 inches, 2064 x 3096 px, 144 Hz Display",13 MP Rear & 8 MP Front Camera,Android v14
152,HMD T21 Tablet,"₹15,499",78,Dual Sim,"3G, 4G, VoLTE, Wi-Fi, NFC","Unisoc T612, Octa Core, 1.8 GHz Processor","8 GB RAM, 128 GB inbuilt",8200 mAh Battery with 18W Fast Charging,"10.36 inches, 1200 x 2000 px Display",8 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 512 GB"
153,Samsung Galaxy Tab S10 Tablet,"₹89,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 9300 Plus, Octa Core Processor","8 GB RAM, 128 GB inbuilt",9400 mAh Battery with 45W Fast Charging,"11.5 inches, 1600 x 2560 px, 120 Hz Display",16 MP Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
154,iQOO Pad 2,"₹29,990",74,No Sim Supported,"Wi-Fi, NFC","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.05 inches, 1968 x 2800 px, 144 Hz Display",8 MP Rear & 5 MP Front Camera,Android v14
