,model,price,rating,info1,info2,info3,info4,info5,info6,info7,info8
267,Samsung Galaxy Tab S8 Plus Tablet (Wi-Fi Only),"₹68,794",,Wi-Fi,No 3G,"Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",10090 mAh Battery with 45W Fast Charging,"12.4 inches, 1752 x 2800 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
268,Lenovo Legion Y700 Gaming Tablet,"₹29,990",,Single Sim,"3G, 4G, VoLTE, Wi-Fi","Snapdragon 870 , Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",6550 mAh Battery with 45W Fast Charging,"8.8 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Memory Card Supported
269,Xiaomi Mi Pad 5 Pro 5G Tablet,"₹39,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon  870 , Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8600 mAh Battery with 67W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",50 MP + 5 MP Dual Rear & 8 MP Front Camera,Android v11
270,Apple iPad Pro 12.9 2021 Tablet (512GB),"₹1,19,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 512 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
271,Samsung Galaxy Tab S8 5G Tablet,"₹39,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen1, Octa Core, 3 GHz Processor","8 GB RAM, 128 GB inbuilt",8000 mAh Battery with 45W Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP + 6 MP Dual Rear & 12 MP Front Camera,"Memory Card Supported, upto 1 TB"
272,Huawei Mate Xs,"₹1,94,990",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Kirin 990, Octa Core, 2.86 GHz Processor","8 GB RAM, 512 GB inbuilt",4500 mAh Battery with 55W Fast Charging,"8 inches, 2200 x 2480 px Display",Foldable Display,40 MP Quad Rear Camera
273,Cubot Tab Kingkong 2,"₹24,999",,Dual Sim,"3G, 4G, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",20400 mAh Battery with 33W Fast Charging,"10.95 inches, 1200 x 1920 px Display",64 MP Rear & 32 MP Front Camera,Memory Card (Hybrid)
274,Wishtel IRA Duo Book 1 Tablet,"₹42,149",72,No Sim Supported,Wi-Fi,"Celeron N4500, Octa Core, 2.8 GHz Processor","8 GB RAM, 256 GB inbuilt",3400 mAh Battery,"11 inches, 2160 x 1440 px Display",5 MP Rear & 1 MP Front Camera,"Memory Card Supported, upto 1 TB"
275,Apple iPad Air 2024 11 inch Tablet (256GB + Wi-Fi ),"₹60,590",67,No Sim Supported,Wi-Fi,"Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7819 mAh Battery with Fast Charging,"11 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iPadOS v17.4
276,DOMO Slate SLP29 T618 Tablet,"₹14,990",77,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T618, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",7500 mAh Battery,"11 inches, 2000 x 1200 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 512 GB"
277,Google Pixel Tablet (8GB RAM +256GB),"₹62,963",77,Wi-Fi,No 3G,"Tensor G2, Octa Core, 2.85 GHz Processor","8 GB RAM, 256 GB inbuilt",7020 mAh Battery with 15W Fast Charging,"10.95 inches, 1600 x 2560 px, 90 Hz Display",8 MP Rear & 8 MP Front Camera,Android v13
278,Ulefone Armor Pad 2,"₹66,196",,Dual Sim,"3G, 4G, Wi-Fi, NFC","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",18600 mAh Battery,"11 inches, 1200 x 2000 px Display",48 MP Rear & 16 MP Front Camera,Memory Card Supported
279,Oukitel RT6 Tablet,"₹19,999",,Dual Sim,"3G, 4G, Wi-Fi","Helio MT8788, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",20000 mAh Battery with 33W Fast Charging,"10.1 inches, 1200 x 1920 px Display",16 MP Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
280,Samsung Galaxy Tab S9 Ultra Tablet (5G + 12GB + 512GB),"₹1,14,498",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 512 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB"
281,Samsung Galaxy Tab S9 Ultra Tablet (Wi-Fi+12GB+512GB),"₹1,09,999",,Wi-Fi,"Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","12 GB RAM, 512 GB inbuilt",11200 mAh Battery with 45W Fast Charging,"14.6 inches, 1848 x 2960 px, 120 Hz Display",13 MP + 8 MP Dual Rear & 12 MP + 12 MP Dual Front Camera,"Memory Card Supported, upto 1 TB",Android v13
282,HTC A104 Tablet,"₹15,999",76,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Unisoc T606, Octa Core, 1.6 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery,"10.36 inches, 2000 x 1200 px Display",5 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 512 GB"
283,AGM Pad P1 Tablet,"₹16,499",79,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 18W Fast Charging,"10.36 inches, 1200 x 2000 px Display",8 MP Rear & 5 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
284,Blackview Active 8 Pro,"₹19,990",,Dual Sim,"3G, 4G, Wi-Fi, NFC","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",22000 mAh Battery with 33W Fast Charging,"10.36 inches, 1200 x 2000 px Display",48 MP Rear & 16 MP Front Camera,Memory Card (Hybrid)
285,Teclast T50 Pro Tablet,"₹15,000",,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 18W Fast Charging,"11 inches, 2000 x 1200 px Display",20 MP + 20 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
286,Teclast T40S Tablet,"₹14,990",59,Wi-Fi,"Helio MT8183, Octa Core Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with Fast Charging,"10.4 inches, 2000 x 1200 px Display",13 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v12
287,Doogee T30 Pro Tablet,"₹28,990",,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8580 mAh Battery with 18W Fast Charging,"11 inches, 1600 x 2560 px, 90 Hz Display",20 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
288,Vaio TL10 Tablet,"₹28,990",76,Single Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T616, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 15W Fast Charging,"10.4 inches, 1200 x 2000 px Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
289,Honor Pad V8 Tablet,"₹21,999",72,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 8020, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7250 mAh Battery with Fast Charging,"11 inches, 1600 x 2560 px, 120 Hz Display",13 MP + 2 MP Dual Rear & 5 MP Front Camera,Memory Card Supported
290,ZTE Axon Pad Tablet,"₹39,990",,Dual Sim,"3G, 4G, 5G, Wi-Fi","Snapdragon 8+ Gen1, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",10000 mAh Battery with 80W Fast Charging,"12.1 inches, 1600 x 2560 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Android v13
291,Blackview Tab 16,"₹17,990",77,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","(12 nm), Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7680 mAh Battery,"11 inches, 1200 x 2000 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
292,Doogee R10 Tablet,"₹19,990",,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10800 mAh Battery with 18W Fast Charging,"10.36 inches, 1536 x 2048 px Display",20 MP Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB"
293,Vivo Pad 2,"₹29,990",76,"Wi-Fi, NFC",No 3G,"Dimensity 9000, Octa Core, 3.05 GHz Processor","8 GB RAM, 128 GB inbuilt",10000 mAh Battery with 44W Fast Charging,"12.1 inches, 1968 x 2800 px, 144 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v13
294,Nubia Pad 3D,"₹86,999",,Wi-Fi,"Snapdragon 888, Octa Core, 2.84 GHz Processor","8 GB RAM, 128 GB inbuilt",9070 mAh Battery with 33W Fast Charging,"12.4 inches, 1600 x 2560 px, 120 Hz Display",16 MP + 16 MP Dual Rear & 8 MP + 8 MP Dual Front Camera,"Memory Card Supported, upto 1 TB",Android v12
295,TCL NxtPaper 12 Pro,"₹42,999",,Single Sim,"3G, 4G, 5G, Wi-Fi","Helio MT8771, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 18W Fast Charging,"12.2 inches, 1440 x 2160 px Display",13 MP Rear & 8 MP + 8 MP Dual Front Camera,"Memory Card Supported, upto 512 GB"
296,Honor V8 Pro Tablet,"₹29,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 8100, Octa Core, 2.85 GHz Processor","8 GB RAM, 256 GB inbuilt",10050 mAh Battery with Fast Charging,"12.1 inches, 1600 x 2560 px, 144 Hz Display",13 MP + Macro Dual Rear & 5 MP Front Camera,Memory Card Supported
297,Doogee T10,"₹14,499",78,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Unisoc T606, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",8300 mAh Battery with 18W Fast Charging,"10.1 inches, 1200 x 1920 px Display",13 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
298,Lenovo Tab P11 Pro 2nd Gen (Wi-Fi + 8 GB + 256 GB),"₹30,990",,Wi-Fi,No 3G,"Kompanio 1300T, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",8000 mAh Battery with 20W Fast Charging,"11.2 inches, 1536 x 2560 px, 120 Hz Display",13 MP Rear & 8 MP Front Camera,Memory Card Supported
299,Apple iPad Pro 12.9 2022 Tablet (Wi-Fi + 128GB),"₹1,01,594",71,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
300,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 128GB),"₹73,494",70,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
301,Apple iPad Pro 11 2022 Tablet (Wi-Fi + 256GB),"₹88,990",70,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
302,Apple iPad Pro 11 2022 Tablet (256GB),"₹1,04,900",79,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
303,Apple iPad Pro 12.9 2022 Tablet (Wi-Fi + 512GB),"₹1,05,849",72,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 512 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
304,Apple iPad Pro 12.9 2022 Tablet (Wi-Fi + 256GB),"₹1,09,900",71,Wi-Fi,No 3G,"Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",10758 mAh Battery with 18W Fast Charging,"12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iPadOS v16
305,Apple iPad Pro 10th Gen Tablet,"₹1,06,990",79,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M2, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7938 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v16
306,Oukitel RT2 Tablet,"₹18,990",75,Dual Sim,"3G, 4G, Wi-Fi","Helio MT8788, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",20000 mAh Battery with 33W Fast Charging,"10.1 inches, 1920 x 1200 px Display",16 MP Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB"
307,Lenovo Xiaoxin Pad Pro 2022,"₹45,990",,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",8200 mAh Battery with 68W Fast Charging,"11.2 inches, 2560 x 1536 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
308,HTC A101 Tablet,"₹27,990",79,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Tiger T618, Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery,"10.1 inches, 1200 x 1920 px Display",16 MP + 2 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 256 GB"
309,Teclast M40 Air Tablet,"₹17,990",73,Single Sim,"3G, 4G, Wi-Fi","Helio  P60 , Octa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 18W Fast Charging,"10.1 inches, 1920 x 1200 px Display",8 MP Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
310,Realme Pad 5G Tablet,"₹24,999",77,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 256 GB inbuilt",8360 mAh Battery with 18W Fast Charging,"10.4 inches, 1080 x 2560 px, 120 Hz Display",8 MP Rear & 8 MP Front Camera,Memory Card Supported
311,Apple iPad Air 5th Gen 5G Tablet (256GB),"₹72,199",76,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7730 mAh Battery with 20W Fast Charging,"10.9 inches, 1640 x 2360 px Display",12 MP Rear & 12 MP Front Camera,iOS v15
312,HTC A100 Tablet,"₹13,990",76,Dual Sim,"3G, 4G, VoLTE, Wi-Fi","Unisoc  SCT618, Hexa Core, 2 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery,"10.1 inches, 1200 x 1920 px Display",13 MP + 2 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 256 GB"
313,Honor V7 Pro 5G Tablet,"₹41,900",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Kompanio  1300T, Octa Core, 2 GHz Processor","8 GB RAM, 256 GB inbuilt",7250 mAh Battery with 22.5W Fast Charging,"11 inches, 2560 x 1600 px, 120 Hz Display",13 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
314,Lenovo Yoga Tab 13,"₹69,990",,Single Sim,"3G, 4G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with Fast Charging,"13 inches, 1350 x 2160 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
315,Huawei MatePad Pro 12.6 5G 2021,"₹70,990",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Kirin 9000E, Octa Core, 3.13 GHz Processor","8 GB RAM, 128 GB inbuilt",10050 mAh Battery with 40W Fast Charging,"12.6 inches, 2560 x 1600 px Display",13 MP + 8 MP Triple Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
316,Huawei MatePad Pro 12.6 5G 2021 (Wi-Fi Only),"₹64,990",,Wi-Fi,No 3G,"Kirin 9000E, Octa Core, 3.13 GHz Processor","8 GB RAM, 128 GB inbuilt",10050 mAh Battery with 40W Fast Charging,"12.6 inches, 2560 x 1600 px Display",13 MP + 8 MP Triple Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
317,Huawei MatePad Pro 10.8 2021 (Wi-Fi Only),"₹47,999",79,Wi-Fi,No 3G,"Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7250 mAh Battery with 40W Fast Charging,"10.8 inches, 2560 x 1600 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
318,Huawei MatePad Pro 10.8 2021,"₹52,990",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",7250 mAh Battery with 40W Fast Charging,"10.8 inches, 2560 x 1600 px Display",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
319,Huawei MatePad 2 5G,"₹41,990",76,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi",Kirin 9000,"8 GB RAM, 128 GB inbuilt",7250 mAh Battery with 40W Fast Charging,"12.2 inches, 2560 x 1600 px, 120 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,"Memory Card Supported, upto 256 GB"
320,Lenovo Xiaoxin Pad Pro 2021,"₹34,990",,Dual Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Snapdragon 870, Octa Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",10200 mAh Battery with 30W Fast Charging,"12.6 inches, 2560 x 1600 px, 120 Hz Display",13 MP + 5 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 512 GB"
321,Apple iPad Pro 11 2021 Tablet (Wi-Fi + 256GB),"₹67,594",70,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
322,Apple iPad Pro 11 2021 Tablet (Wi-Fi + 128GB),"₹67,199",69,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
323,Apple iPad Pro 12.9 2021 Tablet (Wi-Fi + 128GB),"₹99,900",70,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 128 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
324,Apple iPad Pro 12.9 2021 Tablet (2TB),"₹1,73,999",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","16 GB RAM, 2 TB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
325,Apple iPad Pro 12.9 2021 Tablet (Wi-Fi + 512GB),"₹1,09,999",72,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 512 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
326,Apple iPad Pro 12.9 2021 Tablet (Wi-Fi + 256GB),"₹1,08,894",71,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 256 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
327,Apple iPad Pro 12.9 2021 Tablet,"₹89,999",79,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 128 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
328,Apple iPad Pro 11 2021 Tablet (512GB),"₹1,08,490",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
329,Apple iPad Pro 11 2021 Tablet (Wi-Fi + 512GB),"₹86,894",71,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","8 GB RAM, 512 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
330,Apple iPad Pro 11 2021 Tablet (256GB),"₹85,394",79,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 256 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
331,Apple iPad Pro 12.9 2021 Tablet (256GB),"₹1,07,994",,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 256 GB inbuilt","12.9 inches, 2048 x 2732 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5,No FM Radio
332,Apple iPad Pro 11 2021 Tablet (Wi-Fi + 1TB),"₹1,29,292",73,Wi-Fi,No 3G,"Apple M1, Octa Core Processor","16 GB RAM, 1 TB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
333,Apple iPad Pro 11 2021 Tablet,"₹81,590",78,Single Sim,"3G, 4G, 5G, VoLTE, Wi-Fi","Apple M1, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7538 mAh Battery with 18W Fast Charging,"11 inches, 1668 x 2388 px Display",12 MP + 10 MP + Depth Sensor Triple Rear & 12 MP Front Camera,iOS v14.5
334,Huawei Matebook E 2019,"₹41,999",78,Single Sim,"3G, 4G, Wi-Fi","Snapdragon 855, Octa Core, 2.84 GHz Processor","8 GB RAM, 256 GB inbuilt","12 inches, 1440 x 2560 px Display",13 MP Rear & 5 MP Front Camera,Windows v10,No FM Radio
335,Microsoft Surface Pro 4 (6th Gen Ci5/ 8GB/ 256GB/ Win10 Pro),"₹96,890",55,Single Sim,Single Core Processor,"8 GB RAM, 256 GB inbuilt","12.3 inches, 2736 x 1824 px Display",No Rear Camera,v10,No FM Radio,
336,Microsoft Surface Pro 4 (6th Gen Ci7/ 8GB/ 256GB/ Win10 Pro),"₹1,19,490",62,Single Sim,Wi-Fi,Single Core Processor,"8 GB RAM, 256 GB inbuilt","12.3 inches, 2736 x 1824 px Display",8 MP Rear & 5 MP Front Camera,Windows 10 v10,No FM Radio
